symbol,Date,Open,High,Low,Close,Volume,adjclose,dividends,splits
GOOG,2018-01-02,52.41699982,53.34700012,52.26150131,53.25,24752000,53.05935287,0,0
GOOG,2018-01-03,53.21549988,54.3144989,53.16049957,54.12400055,28604000,53.93022537,0,0
GOOG,2018-01-04,54.40000153,54.67850113,54.20009995,54.31999969,20092000,54.1255188,0,0
GOOG,2018-01-05,54.70000076,55.21250153,54.59999847,55.11149979,25582000,54.91418839,0,0
GOOG,2018-01-08,55.11149979,55.56349945,55.08100128,55.34700012,20952000,55.14884567,0,0
GOOG,2018-01-09,55.47000122,55.5284996,55.06155014,55.31299973,18050000,55.11496353,0,0
GOOG,2018-01-10,54.85499954,55.22999954,54.80550003,55.13050079,20856000,54.93312073,0,0
GOOG,2018-01-11,55.31499863,55.32624817,54.97949982,55.27600098,19566000,55.0780983,0,0
GOOG,2018-01-12,55.12049866,56.21450043,55.05749893,56.11299896,34410000,55.91210175,0,0
GOOG,2018-01-16,56.62549973,56.99549866,55.89160156,56.08800125,31506000,55.88719559,0,0
GOOG,2018-01-17,56.31100082,56.63000107,55.8504982,56.59899902,24052000,56.3963623,0,0
GOOG,2018-01-18,56.57049942,56.62549973,55.875,56.48949814,23964000,56.28725052,0,0
GOOG,2018-01-19,56.59149933,56.89300156,56.41500092,56.87549973,35564000,56.671875,0,0
GOOG,2018-01-22,56.87450027,57.99399948,56.75550079,57.79050064,32360000,57.58359909,0,0
GOOG,2018-01-23,57.99250031,58.58134842,57.9375,58.49850082,26662000,58.2890625,0,0
GOOG,2018-01-24,58.86650085,58.99300003,58.05250168,58.2120018,28332000,58.00358963,0,0
GOOG,2018-01-25,58.62649918,58.79700089,58.13800049,58.51850128,29610000,58.30899048,0,0
GOOG,2018-01-26,58.75400162,58.79199982,57.9054985,58.79199982,40376000,58.58151245,0,0
GOOG,2018-01-29,58.82400131,59.3445015,58.59899902,58.77899933,27578000,58.56855774,0,0
GOOG,2018-01-30,58.39149857,58.82600021,58.17599869,58.18450165,31126000,57.97618866,0,0
GOOG,2018-01-31,58.5284996,58.65000153,57.95650101,58.49700165,30774000,58.28756714,0,0
GOOG,2018-02-01,58.13050079,58.70000076,57.87599945,58.38499832,48242000,58.17596436,0,0
